region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Hinds County,Mississippi,32.4872529,32.0502718,-90.0944276,-90.6767672,32.3133753938411,-90.2359768984334,1080.35,52466,95.813749228505,64.9934964385259,296215,857111,614474,670802,2598960,40,5037562,10,1259390.5,83976335.5499757,282638160.125828,187915558.062683,203063577.227623,858159098.758342,12181.6322265625,1615752729.72446,"[[0,10498],[5,15433],[10,10239],[15,5540],[20,2758],[25,1465],[30,877],[35,708],[40,570],[45,497],[50,406],[55,285],[60,255],[65,173],[70,187],[75,173],[80,149],[85,152],[90,118],[95,101],[100,81],[105,84],[110,88],[115,82],[120,79],[125,64],[130,45],[135,58],[140,58],[145,45],[150,33],[155,38],[160,38],[165,37],[170,32],[175,31],[180,24],[185,28],[190,22],[195,26],[200,25],[205,20],[210,17],[215,27],[220,27],[225,16],[230,32],[235,20],[240,20],[245,15],[250,14],[255,15],[260,19],[265,7],[270,12],[275,15],[280,13],[285,10],[290,7],[295,14],[300,17],[305,5],[310,3],[315,10],[320,10],[325,6],[330,6],[335,6],[340,10],[345,11],[350,9],[355,3],[360,10],[365,7],[370,8],[375,5],[380,8],[385,3],[390,6],[395,8],[400,4],[405,8],[410,7],[415,7],[420,8],[425,2],[430,6],[435,9],[440,9],[445,9],[450,5],[455,2],[460,6],[465,2],[470,2],[475,3],[480,2],[485,4],[490,3],[495,2],[500,5],[505,4],[510,6],[515,4],[520,2],[525,4],[530,4],[535,4],[540,1],[545,2],[550,3],[555,2],[560,3],[565,2],[570,5],[575,3],[580,4],[585,1],[590,3],[595,2],[600,1],[605,5],[610,3],[615,5],[620,1],[625,1],[630,3],[635,1],[640,4],[645,3],[650,2],[655,1],[660,3],[665,3],[670,3],[675,1],[680,1],[685,1],[690,3],[700,1],[705,1],[710,3],[720,2],[725,4],[730,2],[735,1],[740,2],[745,2],[750,1],[755,3],[765,1],[770,1],[775,3],[790,3],[795,3],[800,1],[810,2],[815,1],[820,4],[825,2],[835,2],[845,2],[850,2],[855,1],[885,1],[890,1],[895,2],[905,1],[910,1],[915,1],[920,1],[925,2],[930,2],[935,1],[940,1],[945,2],[950,1],[960,1],[980,1],[985,5],[990,2],[995,71],[1000,37]]",1011525.9483808,72
Hoke County,North Carolina,35.1124223,34.8494293,-79.0356032,-79.4472924,34.9946460882444,-79.1398404379668,1082.9,1348,11.2002468373959,92.8374655647383,3432,27142,15113,18087,7173,41,70947,10.25,17736.75,964727.786383056,9048744.52838135,4526939.93063966,5556839.16677246,2321292.48004761,13244.6041259766,22418543.8922241,"[[0,156],[5,469],[10,417],[15,195],[20,63],[25,13],[30,10],[35,2],[40,6],[45,4],[55,3],[60,1],[65,1],[85,2],[100,1],[105,1],[135,1],[340,1],[515,1],[995,1]]",13160.7276388849,0
Honolulu County,Hawaii,21.7062345,21.255455,-157.649668,-158.2392326,21.376217495797,-157.909522573542,1272.45,155126,82.8484477764353,94.6553986026787,1633017,2031085,1757612,1877472,5490173,51,12789359,12.75,3197339.75,566510717.75474,791185971.716095,635629048.548272,706804353.930089,2137434365.93024,19108.5959960938,4837564457.87946,"[[0,15670],[5,38699],[10,36425],[15,25701],[20,15016],[25,7730],[30,3924],[35,2332],[40,1614],[45,1093],[50,783],[55,525],[60,410],[65,368],[70,328],[75,286],[80,280],[85,234],[90,228],[95,175],[100,183],[105,179],[110,162],[115,150],[120,122],[125,125],[130,105],[135,97],[140,92],[145,91],[150,84],[155,84],[160,74],[165,45],[170,63],[175,48],[180,50],[185,51],[190,39],[195,47],[200,44],[205,45],[210,37],[215,35],[220,46],[225,30],[230,30],[235,29],[240,26],[245,28],[250,33],[255,31],[260,30],[265,32],[270,33],[275,21],[280,33],[285,26],[290,19],[295,22],[300,23],[305,17],[310,22],[315,9],[320,21],[325,14],[330,21],[335,11],[340,18],[345,11],[350,18],[355,13],[360,11],[365,13],[370,12],[375,12],[380,16],[385,12],[390,11],[395,8],[400,8],[405,9],[410,13],[415,6],[420,13],[425,11],[430,8],[435,9],[440,3],[445,6],[450,11],[455,9],[460,5],[465,9],[470,7],[475,6],[480,4],[485,4],[490,4],[495,7],[500,1],[505,5],[510,9],[515,2],[520,2],[525,4],[530,7],[540,7],[545,5],[550,5],[555,5],[560,5],[565,3],[570,6],[575,3],[580,3],[585,6],[590,4],[595,4],[600,3],[605,3],[610,2],[615,2],[620,2],[625,5],[630,6],[640,8],[645,10],[650,4],[655,3],[660,4],[665,2],[675,5],[680,2],[685,2],[690,3],[695,1],[700,2],[705,1],[710,5],[715,2],[720,2],[725,2],[730,1],[735,2],[745,2],[750,1],[755,2],[760,3],[770,2],[785,2],[790,1],[795,2],[800,5],[805,2],[810,1],[815,2],[820,2],[825,2],[830,2],[835,2],[840,1],[845,1],[850,4],[855,1],[860,1],[875,2],[880,3],[885,1],[890,1],[895,3],[900,1],[905,3],[915,3],[930,1],[935,2],[950,3],[955,1],[960,1],[970,6],[975,1],[980,1],[990,6],[995,68],[1000,21]]",3225736.42137831,21715
Horry County,South Carolina,34.2187804,33.5696623,-78.5894382,-79.2188563,33.7508148684902,-78.9104865239723,1120.3,87203,89.0227257216952,83.5629958986546,383989,1515935,1028722,1145294,2431995,40,6505935,10,1626483.75,112627736.08183,526186542.621642,324083985.340533,366943363.889453,820359358.842212,13058.6354980469,2150200986.77568,"[[0,14161],[5,28277],[10,19802],[15,9982],[20,4563],[25,2306],[30,1407],[35,970],[40,742],[45,588],[50,502],[55,446],[60,340],[65,280],[70,229],[75,193],[80,181],[85,168],[90,131],[95,147],[100,122],[105,117],[110,79],[115,93],[120,56],[125,72],[130,63],[135,44],[140,46],[145,60],[150,50],[155,36],[160,43],[165,29],[170,33],[175,41],[180,25],[185,28],[190,29],[195,16],[200,15],[205,16],[210,19],[215,23],[220,17],[225,19],[230,11],[235,12],[240,12],[245,16],[250,14],[255,14],[260,10],[265,13],[270,9],[275,14],[280,15],[285,9],[290,9],[295,12],[300,14],[305,5],[310,11],[315,7],[320,6],[325,8],[330,10],[335,3],[340,5],[345,7],[350,3],[355,9],[360,5],[365,10],[370,5],[375,8],[380,4],[385,6],[390,4],[395,4],[400,6],[405,5],[410,3],[415,1],[420,2],[425,4],[430,7],[435,4],[440,4],[445,3],[450,1],[455,2],[460,5],[465,6],[470,2],[475,2],[480,2],[485,4],[490,2],[500,1],[505,2],[510,3],[515,4],[520,4],[525,2],[530,5],[535,3],[540,1],[545,6],[550,1],[555,2],[560,2],[570,2],[575,1],[580,1],[585,1],[590,2],[595,1],[600,3],[605,2],[610,2],[615,3],[630,1],[635,3],[640,1],[645,1],[660,2],[665,2],[670,1],[675,2],[680,2],[685,2],[690,6],[695,2],[705,2],[710,2],[715,1],[720,1],[725,3],[730,1],[735,2],[745,1],[755,1],[765,1],[770,5],[775,1],[780,2],[790,1],[795,3],[805,2],[815,1],[820,1],[825,1],[835,1],[845,1],[850,2],[855,2],[860,1],[870,1],[875,1],[885,2],[890,1],[895,1],[910,2],[915,2],[920,1],[945,1],[955,3],[970,1],[985,3],[990,5],[995,64],[1000,22]]",1262254.72151015,116
Hot Spring County,Arkansas,34.4688249,34.2223491,-92.6989887,-93.3810372,34.3655780934039,-92.8372737774024,1039.55,29,2.36156351791531,50,168,569,219,177,1282,27,2415,6.75,603.75,45590.2580078125,180908.725579834,62888.8197814941,52911.2176330566,406128.224151611,8068.32181396484,748427.245153809,"[[0,10],[5,8],[10,8],[15,1],[75,1],[315,1]]",457.289209822597,0
Houston County,Georgia,32.6888978,32.3359933,-83.5415604,-83.7974526,32.5785581566474,-83.6597838540443,1108.4,35060,77.3893917911804,82.348796241926,182449,605252,371412,507756,823971,40,2490840,10,622710,53294844.5887265,209100541.212805,114262294.968127,159826511.716235,277677436.034235,12951.3864990234,814161628.520127,"[[0,5305],[5,11836],[10,9294],[15,4063],[20,1589],[25,666],[30,383],[35,283],[40,197],[45,158],[50,158],[55,112],[60,91],[65,75],[70,66],[75,51],[80,27],[85,36],[90,37],[95,29],[100,24],[105,23],[110,22],[115,22],[120,20],[125,18],[130,19],[135,16],[140,15],[145,17],[150,20],[155,8],[160,7],[165,18],[170,8],[175,8],[180,7],[185,12],[190,13],[195,3],[200,3],[205,9],[210,5],[215,5],[220,10],[225,2],[230,3],[235,9],[240,7],[245,7],[250,2],[255,6],[260,3],[265,3],[270,3],[275,2],[280,4],[285,3],[290,5],[295,3],[300,5],[305,4],[310,5],[315,2],[320,5],[325,4],[330,5],[335,6],[340,2],[345,1],[355,4],[370,1],[375,2],[380,2],[385,2],[390,1],[395,3],[400,2],[410,2],[415,2],[420,1],[425,4],[430,2],[440,1],[445,2],[450,1],[455,4],[460,1],[465,3],[470,1],[475,2],[480,2],[485,1],[490,2],[495,2],[510,3],[520,1],[530,4],[535,1],[540,1],[545,2],[550,1],[555,2],[560,1],[575,1],[585,1],[595,1],[600,1],[605,2],[615,1],[620,3],[625,1],[630,1],[635,1],[640,1],[645,2],[650,3],[655,1],[670,1],[675,1],[680,2],[690,1],[705,1],[710,1],[715,1],[725,2],[740,2],[750,2],[755,1],[765,1],[770,1],[780,1],[790,1],[805,2],[810,1],[815,1],[820,1],[835,1],[840,1],[855,1],[870,1],[875,1],[885,1],[890,1],[905,2],[915,1],[920,1],[955,1],[960,2],[990,3],[995,27],[1000,17]]",484089.170223762,31
Houston County,Alabama,31.3041533,31.0157244,-85.0524197,-85.6824319,31.2190623162057,-85.4033811802706,1116.9,12295,69.5458137696992,82.1858288770054,73308,206421,168318,183128,894494,50,1525669,12.5,381417.25,21476165.6994384,71634693.5988831,54056360.6086853,57438171.1618288,305357110.462109,16021.4900024414,509962501.530945,"[[0,1872],[5,2994],[10,2337],[15,1585],[20,831],[25,495],[30,262],[35,203],[40,169],[45,147],[50,127],[55,116],[60,80],[65,76],[70,76],[75,67],[80,58],[85,38],[90,51],[95,42],[100,30],[105,31],[110,36],[115,30],[120,29],[125,21],[130,17],[135,21],[140,18],[145,12],[150,11],[155,22],[160,8],[165,15],[170,15],[175,14],[180,15],[185,7],[190,9],[195,11],[200,12],[205,8],[210,11],[215,12],[220,8],[225,5],[230,10],[235,5],[240,4],[245,6],[250,5],[255,5],[260,3],[265,6],[270,7],[275,5],[280,7],[285,6],[290,4],[295,4],[300,3],[305,1],[310,5],[315,4],[320,2],[325,3],[330,4],[335,1],[340,4],[345,5],[350,2],[355,3],[360,1],[365,2],[370,1],[375,2],[380,1],[385,4],[390,7],[395,1],[400,1],[405,2],[410,4],[415,3],[425,3],[440,2],[455,2],[460,1],[465,1],[470,2],[480,2],[490,1],[495,1],[500,1],[510,1],[520,2],[545,1],[550,1],[555,1],[560,1],[565,1],[570,3],[580,1],[595,1],[605,1],[625,2],[650,3],[665,1],[720,2],[730,1],[740,1],[745,1],[755,1],[770,1],[775,1],[780,2],[790,1],[795,1],[805,1],[825,1],[835,1],[840,1],[865,1],[900,1],[905,1],[920,2],[940,1],[950,1],[955,1],[965,1],[990,1],[995,27],[1000,9]]",303216.604128193,3
Houston County,Minnesota,43.8469995,43.5032342,-91.2732129,-91.7251512,43.7590183734468,-91.3937858308923,978.35,1965,61.8343195266272,78.3492822966507,3969,30102,23208,24571,20819,35,102669,8.75,25667.25,990287.127526855,9024004.51263428,6269059.11590575,6666503.97569579,5974578.24109497,9891.30349121094,28924432.9728577,"[[0,429],[5,675],[10,432],[15,226],[20,87],[25,24],[30,13],[35,16],[40,13],[45,3],[50,4],[55,4],[60,5],[65,5],[70,1],[75,1],[80,4],[90,1],[95,2],[100,2],[105,1],[110,1],[115,3],[120,1],[125,1],[135,2],[140,1],[145,1],[150,1],[305,2],[310,1],[405,1],[470,1],[570,1]]",14655.640993653,7
Howard County,Indiana,40.5598643,40.4019884,-85.9458236,-86.3574175,40.4731345591572,-86.1312354315632,978.35,11165,70.41010320478,71.7775634844102,51334,163721,100939,155630,558592,30,1030216,7.5,257554,13043155.2129639,50214206.8305908,27391670.9239013,44017021.0798096,165587070.202569,8449.76989746094,300253124.249834,"[[0,3412],[5,3627],[10,1629],[15,733],[20,358],[25,224],[30,143],[35,110],[40,84],[45,78],[50,70],[55,47],[60,38],[65,37],[70,32],[75,30],[80,31],[85,27],[90,29],[95,18],[100,12],[105,25],[110,12],[115,12],[120,11],[125,8],[130,13],[135,12],[140,17],[145,10],[150,16],[155,13],[160,9],[165,8],[170,7],[175,4],[180,7],[185,3],[190,9],[195,2],[200,7],[205,6],[210,3],[215,4],[220,5],[225,2],[230,5],[240,3],[245,3],[255,4],[260,2],[265,3],[275,2],[280,3],[285,1],[290,1],[295,1],[300,3],[305,5],[310,2],[315,1],[320,2],[325,1],[330,2],[335,3],[340,5],[345,2],[350,2],[355,1],[360,3],[365,1],[375,5],[385,1],[390,5],[395,1],[400,1],[410,2],[415,1],[425,1],[430,1],[440,2],[445,2],[450,1],[485,3],[500,2],[505,1],[510,1],[520,1],[530,1],[550,1],[555,2],[560,2],[565,1],[570,2],[580,1],[590,1],[595,1],[600,1],[605,1],[610,1],[615,1],[620,1],[635,1],[640,1],[650,1],[655,1],[670,3],[700,1],[730,1],[760,1],[770,1],[775,1],[785,2],[795,1],[810,1],[850,1],[855,1],[880,1],[895,2],[905,1],[945,1],[965,1],[975,2],[990,1],[995,23],[1000,12]]",248565.737790327,3
Howard County,Maryland,39.3680377,39.1054555,-76.7028735,-77.1861647,39.225843387395,-76.8690542827851,1036.15,3938,5.80093276690063,78.3681592039801,6886,51042,34224,40922,295306,26,428380,6.5,107095,1833056.18084717,16322404.3871765,9870660.30010987,11947574.2790955,91262878.6926513,7787.00086669922,131236573.83988,"[[0,1285],[5,1600],[10,481],[15,141],[20,72],[25,37],[30,38],[35,27],[40,19],[45,21],[50,10],[55,11],[60,9],[65,6],[70,7],[75,7],[80,2],[85,8],[90,5],[95,1],[100,2],[105,4],[110,3],[115,2],[120,2],[125,6],[135,1],[140,4],[145,4],[150,1],[155,2],[160,2],[165,1],[170,2],[175,1],[180,1],[185,3],[190,2],[195,1],[200,1],[210,1],[215,2],[220,2],[225,1],[230,2],[240,1],[245,2],[250,1],[255,1],[270,2],[275,1],[280,1],[300,1],[310,2],[315,1],[320,2],[325,2],[330,1],[340,1],[345,2],[375,2],[380,2],[390,1],[410,1],[415,1],[445,1],[450,1],[455,1],[460,1],[465,1],[470,1],[485,1],[495,2],[510,1],[515,1],[530,1],[545,1],[595,1],[605,1],[615,1],[625,1],[635,3],[640,3],[645,1],[650,1],[655,2],[675,1],[680,1],[700,1],[710,1],[715,1],[725,1],[740,1],[795,1],[800,1],[820,1],[840,1],[865,1],[895,1],[905,1],[910,1],[935,1],[995,5],[1000,22]]",83395.6760939538,100
Hudson County,New Jersey,40.8219499,40.645118,-73.9924379,-74.1648239,40.7394393155536,-74.0716627091606,988.55,69257,98.8846398980242,79.7120298328806,104403,362466,391852,259468,4199402,27,5317591,6.75,1329397.75,26774556.8468658,112104556.01275,114426662.535059,70433804.6948426,1240482798.21173,7910.65241699219,1564222378.30126,"[[0,22910],[5,26315],[10,9496],[15,3042],[20,1428],[25,919],[30,629],[35,515],[40,398],[45,343],[50,288],[55,201],[60,182],[65,162],[70,150],[75,124],[80,117],[85,100],[90,100],[95,81],[100,65],[105,73],[110,76],[115,51],[120,45],[125,52],[130,52],[135,38],[140,36],[145,34],[150,30],[155,25],[160,20],[165,18],[170,30],[175,34],[180,25],[185,12],[190,19],[195,16],[200,22],[205,15],[210,16],[215,18],[220,12],[225,19],[230,15],[235,14],[240,23],[245,18],[250,12],[255,18],[260,13],[265,13],[270,7],[275,9],[280,15],[285,8],[290,7],[295,10],[300,17],[305,6],[310,14],[315,12],[320,7],[325,9],[330,8],[335,3],[340,5],[345,3],[350,7],[355,5],[360,1],[365,4],[370,8],[375,12],[380,9],[385,10],[390,8],[395,5],[400,6],[405,7],[410,5],[415,5],[420,4],[425,2],[430,6],[435,6],[440,2],[445,4],[450,3],[455,4],[460,5],[465,10],[470,7],[475,2],[480,4],[485,4],[490,9],[495,2],[500,5],[505,4],[510,2],[515,1],[520,8],[525,5],[530,2],[535,5],[540,4],[545,3],[550,4],[555,4],[560,5],[565,5],[570,2],[575,8],[580,5],[585,3],[590,6],[595,7],[600,2],[605,1],[610,1],[615,6],[620,1],[625,4],[630,3],[635,3],[640,3],[645,4],[655,3],[660,1],[665,4],[680,2],[695,4],[700,3],[705,3],[710,5],[715,6],[730,2],[735,3],[750,2],[755,3],[760,8],[765,3],[770,1],[775,3],[780,2],[790,1],[795,2],[800,1],[810,1],[815,4],[820,2],[825,1],[830,1],[835,2],[840,1],[845,1],[850,2],[855,3],[860,2],[865,1],[870,1],[885,3],[890,1],[895,2],[900,2],[905,2],[910,2],[920,1],[925,3],[930,2],[935,4],[940,1],[945,1],[950,1],[955,2],[965,5],[980,1],[985,1],[990,5],[995,133],[1000,100]]",993436.231811844,215
Humboldt County,California,41.4071089,40.0077403,-123.5280257,-124.3502286,40.790801550021,-124.107452485916,997.9,17105,64.2273006432427,86.0845495722194,69474,234561,166853,217038,525062,39,1212988,9.75,303247,17916731.9156921,74819893.0614318,46275106.6163697,62776072.9295529,155898237.096515,11488.5614013672,357686041.619559,"[[0,3523],[5,5253],[10,3578],[15,1900],[20,910],[25,450],[30,228],[35,182],[40,128],[45,107],[50,89],[55,68],[60,47],[65,59],[70,55],[75,44],[80,33],[85,31],[90,31],[95,31],[100,29],[105,19],[110,15],[115,21],[120,12],[125,15],[130,6],[135,13],[140,13],[145,4],[150,12],[155,9],[160,10],[165,6],[170,5],[175,9],[180,10],[185,6],[190,4],[195,4],[200,4],[205,7],[210,9],[215,4],[220,5],[225,6],[230,5],[235,2],[240,3],[245,1],[250,4],[255,2],[260,1],[265,2],[270,5],[280,3],[285,2],[290,2],[295,2],[300,1],[305,1],[310,1],[315,2],[320,2],[325,2],[335,2],[340,4],[345,2],[360,2],[365,2],[380,1],[395,1],[405,1],[410,1],[420,2],[430,1],[455,1],[470,1],[475,1],[505,2],[515,1],[540,3],[560,2],[565,1],[580,1],[590,1],[630,1],[645,1],[665,1],[675,1],[680,1],[690,1],[710,1],[740,1],[890,1],[915,1],[940,1],[955,1],[965,1],[995,11],[1000,1]]",97515.5739946428,209
Huntingdon County,Pennsylvania,40.7204033,40.0779321,-77.83072,-78.2133678,40.4392781514481,-77.9981234547273,842.35,1,0.033288948069241,50,0,7,18,8,14,47,47,11.75,11.75,0,1927.992578125,4289.33812866211,1978.16644287109,3643.85661621094,11839.3537658691,11839.3537658691,"[[10,1]]",7.52344322113139,0
Huntington County,Indiana,41.004628,40.6648337,-85.3356296,-85.6402353,40.8664032247656,-85.4807972759663,937.55,13,0.182940772924766,81.25,268,174,411,456,448,74,1757,18.5,439.25,64691.7012207031,51057.4858154297,110525.34519043,130063.224389648,128849.38828125,19848.9752563477,485187.144897461,"[[5,2],[10,3],[15,2],[20,1],[30,1],[35,2],[105,1],[110,1]]",401.664099046876,0
Iberia Parish,Louisiana,30.0731348,29.8878027,-91.6569982,-91.993515,30.0009910836783,-91.8154964825748,1095.65,226,2.53207869974337,76.3513513513514,2908,3514,1370,1670,22094,45,31556,11.25,7889,876236.220257568,1229262.63658447,431505.189245605,529003.31729126,7403790.6989624,15016.6744140625,10469798.0623413,"[[0,43],[5,51],[10,45],[15,19],[20,15],[25,4],[30,8],[35,5],[40,3],[45,1],[50,2],[55,4],[60,3],[65,2],[80,2],[90,1],[140,2],[150,2],[155,2],[165,1],[170,2],[190,1],[195,1],[245,1],[300,1],[310,1],[340,1],[445,1],[545,1],[565,1]]",7082.5502026484,0
Imperial County,California,33.4336233,32.6519117,-114.5484867,-116.0998661,32.8269744632861,-115.526125551929,1379.55,7646,24.0969439219214,86.5029980767055,25601,102660,58241,85703,185954,35,458159,8.75,114539.75,9098914.8779541,45617258.2427672,23060041.3024597,33328150.4467346,75830404.1747314,14537.8770507813,186934769.044648,"[[0,1615],[5,2672],[10,1721],[15,867],[20,296],[25,107],[30,55],[35,41],[40,31],[45,24],[50,20],[55,13],[60,23],[65,12],[70,9],[75,11],[80,6],[85,3],[90,6],[95,5],[100,4],[105,6],[110,6],[115,4],[120,3],[125,5],[130,2],[135,3],[140,3],[145,1],[150,2],[155,1],[160,4],[165,1],[175,4],[180,1],[185,1],[190,1],[195,2],[200,5],[205,2],[210,1],[215,1],[225,3],[235,2],[240,1],[250,2],[280,2],[285,2],[290,1],[295,2],[320,1],[330,1],[335,2],[340,1],[355,1],[360,1],[370,1],[380,1],[385,2],[390,1],[415,1],[420,1],[440,1],[445,1],[450,1],[480,1],[495,1],[560,1],[745,1],[750,1],[865,1],[975,1],[990,2],[995,3],[1000,2]]",80500.2756692296,5
Indian River County,Florida,27.8586914,27.5575524,-80.3223987,-80.7754979,27.6758544876958,-80.4354460823356,1157.7,34869,58.9213139314346,94.3195650409803,339436,662565,468590,633985,717406,58,2821982,14.5,705495.5,103376282.673566,242010369.716705,153778808.937408,212943897.693378,254487976.396948,19571.4942504883,966597335.418004,"[[0,2625],[5,7278],[10,7983],[15,6040],[20,3957],[25,2577],[30,1599],[35,754],[40,434],[45,283],[50,154],[55,161],[60,119],[65,87],[70,69],[75,78],[80,45],[85,39],[90,58],[95,37],[100,38],[105,40],[110,24],[115,21],[120,27],[125,25],[130,13],[135,16],[140,14],[145,16],[150,20],[155,13],[160,13],[165,10],[170,12],[175,8],[180,13],[185,8],[190,7],[195,5],[200,8],[205,6],[210,2],[215,3],[220,3],[225,4],[230,4],[235,3],[240,4],[245,8],[250,1],[255,1],[260,3],[265,4],[270,3],[275,2],[280,3],[290,1],[300,2],[305,5],[310,2],[315,1],[325,3],[330,1],[335,2],[340,2],[355,1],[365,2],[370,2],[375,1],[385,2],[390,2],[395,1],[410,1],[415,1],[420,1],[430,5],[440,1],[465,1],[480,1],[485,1],[490,1],[495,2],[505,1],[520,1],[535,1],[560,1],[575,1],[585,1],[590,2],[610,1],[615,2],[620,1],[645,1],[650,1],[700,2],[720,1],[725,1],[745,1],[895,1],[950,1],[960,2],[990,1],[995,14],[1000,4]]",516601.509075247,854
Ingham County,Michigan,42.7752689,42.4223614,-84.1498411,-84.6027522,42.6958721990903,-84.511676092336,944.35,54720,94.6391370769872,66.9177713642812,263778,778767,541281,689291,2091245,28,4364362,7,1091090.5,64661742.0040253,225768869.097871,141710149.100981,184538232.075921,593803279.674115,7462.34486083984,1210482271.9529,"[[0,18469],[5,17173],[10,7914],[15,3530],[20,1623],[25,881],[30,625],[35,467],[40,424],[45,337],[50,255],[55,220],[60,194],[65,148],[70,150],[75,132],[80,131],[85,133],[90,124],[95,109],[100,99],[105,82],[110,65],[115,64],[120,68],[125,41],[130,44],[135,60],[140,51],[145,41],[150,36],[155,35],[160,21],[165,25],[170,25],[175,22],[180,19],[185,24],[190,21],[195,27],[200,20],[205,30],[210,17],[215,20],[220,15],[225,18],[230,14],[235,18],[240,12],[245,11],[250,7],[255,9],[260,9],[265,11],[270,9],[275,15],[280,10],[285,16],[290,12],[295,9],[300,11],[305,11],[310,9],[315,7],[320,10],[325,12],[330,5],[335,4],[340,6],[345,3],[350,6],[355,10],[360,6],[365,5],[370,3],[375,6],[380,4],[385,7],[390,8],[395,7],[400,4],[405,8],[410,9],[415,7],[420,5],[425,6],[430,8],[435,12],[440,6],[445,3],[450,6],[455,2],[460,3],[465,3],[470,5],[475,2],[480,7],[485,7],[490,1],[495,6],[500,2],[505,8],[510,4],[515,8],[520,1],[525,3],[530,2],[535,3],[540,2],[545,4],[550,2],[555,4],[560,1],[565,3],[575,2],[580,3],[585,3],[590,1],[595,1],[600,1],[605,2],[610,2],[615,4],[620,3],[625,6],[630,4],[635,2],[640,1],[645,1],[650,2],[655,2],[660,4],[670,2],[680,2],[685,2],[690,4],[695,1],[700,3],[705,1],[710,1],[715,1],[720,1],[730,3],[740,1],[745,3],[750,2],[760,1],[770,3],[775,1],[780,2],[785,1],[790,1],[795,1],[800,2],[805,3],[810,3],[815,2],[820,1],[825,3],[835,1],[840,4],[850,1],[860,2],[865,1],[875,1],[900,1],[905,1],[910,2],[915,3],[925,2],[930,1],[935,1],[940,1],[950,1],[955,1],[960,2],[965,2],[980,3],[985,1],[990,4],[995,68],[1000,33]]",953413.633347903,76
Iredell County,North Carolina,36.0544181,35.4955226,-80.7074293,-81.0787642,35.6498399007488,-80.8602800366169,1086.3,6492,18.6882706087406,74.7495682210708,33543,99987,68881,83689,624423,38,910523,9.5,227630.75,9453052.97786254,33822046.8660523,20804755.4595215,25853664.1067261,204655057.779919,11943.5844970703,294588577.190082,"[[0,1439],[5,1896],[10,999],[15,564],[20,298],[25,168],[30,108],[35,89],[40,74],[45,67],[50,53],[55,59],[60,50],[65,40],[70,45],[75,24],[80,25],[85,21],[90,34],[95,27],[100,21],[105,16],[110,14],[115,18],[120,9],[125,11],[130,13],[135,8],[140,7],[145,12],[150,12],[155,9],[160,8],[165,4],[170,6],[175,4],[180,4],[185,6],[190,4],[195,7],[200,5],[205,2],[210,3],[215,5],[220,6],[225,3],[230,3],[235,5],[240,3],[245,2],[250,5],[255,3],[260,3],[265,3],[270,5],[275,1],[280,1],[285,5],[290,3],[295,1],[300,3],[305,4],[310,4],[315,3],[320,5],[325,1],[330,2],[335,6],[340,3],[345,1],[350,1],[360,2],[365,2],[370,1],[375,2],[385,2],[390,1],[395,3],[400,4],[410,3],[420,1],[430,3],[435,1],[440,1],[445,2],[455,1],[465,1],[470,1],[490,1],[495,3],[500,1],[505,2],[510,1],[530,1],[535,1],[540,3],[545,1],[550,3],[555,3],[560,1],[570,3],[595,3],[600,1],[615,1],[640,1],[645,1],[655,1],[665,1],[670,1],[690,2],[700,1],[705,1],[715,2],[730,1],[760,1],[795,2],[880,1],[920,1],[940,1],[950,1],[955,1],[975,1],[990,2],[995,30],[1000,6]]",172937.192021201,1
Iron County,Utah,37.8871853,37.4824932,-112.7735201,-113.6560563,37.7042741012453,-113.040989336159,1300.5,1,0.009224241306153,100,0,25,4,21,0,50,50,12.5,12.5,0,10344.1754394531,1544.7352355957,7884.17333984375,0,19773.0840148926,19773.0840148926,"[[10,1]]",5.25782801389202,0
